supplier_product_id,dropship_giga_product_id
T3971P385971,1187879
T3971P512644,1485088
T3971S00297,1506755
T6026S00004,1499389
T6026S00005,1500051
T6052P508881,1475531
W1117S00422,1415260
W1120P330147,1069165
W1157P307950,1020003
W1157P307957,1020014
W1162P309021,1022220
W1162P339085,1089616
W1162P356393,1123529
W1162P388448,1192495
W1162P485247,1421686
W1278P360535,1132433
W1298P199181,789846
W1320P179346,746583
W1321111282,551722
W132166344,449666
W1321P151791,683712
W1321P171784,732048
W1321P204522,804968
W1321P309434,1023437
W1321P311160,1028897
W1321P311892,1030934
W1321P413949,1248357
W1321S00001,582107
W1321S00002,582160
W1321S00005,640550
W1321S00027,1069624
W1321S00049,1319007
W1347P246823,886789
W1417S00079,788171
W1435133312,621082
W1435133313,621089
W1435P183068,755678
W1435P337640,1086448
W1445103595,531408
W1445121942,586882
W1445121945,586888
W1445121947,586890
W1445132031,617960
W1445132035,617964
W1445139547,641179
W144583481,499535
W1445P146389,670347
W1445P146390,670348
W1445P164167,715811
W1445P164168,715814
W1445P164172,715826
W1445P164173,715828
W1445P173033,734925
W1445P173038,734928
W1445P214051,824096
W1445P251889,896708
W1445P256462,907587
W1445P256466,907591
W1445P256479,907608
W1445P302631,1009570
W1445P303027,1010181
W1445P317059,1041986
W1445P321199,1050292
W1445P327887,1065571
W1445P360668,1132654
W1445P419756,1263122
W1445P419757,1263123
W1445S00002,1270560
W1445S00003,1270564
W1706P254657,903646
W1706P280664,955039
W1706P280672,955047
W1706P311107,1028762
W1716P335674,1081997
W1716P409479,1237599
W1767S00004,808901
W1767S00018,906943
W1767S00020,906972
W1785P308517,1020934
W1801P163658,714284
W1801P195597,782240
W1801P195608,782257
W1801P195634,782288
W1801P195696,782418
W1801P272511,941086
W1801P288508,975716
W1801P290306,980265
W1801P303392,1010982
W1801P428581,1287228
W1820P324616,1059046
W1820P335659,1081926
W1820P338177,1087447
W1820S00068,1412491
W1820S00069,1412493
W1829S00061,1076406
W1865S00255,1479996
W2011P307019,1018220
W2139P194436,779035
W2139P306488,1016654
W2178138725,638327
W2178P517190,1495693
W2186P212193,821437
W2225P156372,696370
W2225P173877,736537
W2231P292981,987216
W2263P353560,1116809
W2263P353794,1117348
W2263P410055,1238870
W2275P206602,809816
W2275P233489,858702
W2275P233490,858703
W2275P460424,1353676
W2339S00039,1057895
W2393P195491,782018
W2500P483010,1416152
W2557S00002,1160804
W2641P499520,1454491
W2664P232884,857184
W2699P184784,759432
W2729P298232,1001006
W2817S00024,1453716
W28209580,28030
W282132412,618995
W2824P324530,1058862
W282P160454,706071
W282S00025,547611
W2917P294993,993457
W2917P384735,1184959
W2917S00013,1277595
W2987P288952,977255
W2987P289172,977918
W2987P289196,978021
W3040P480534,1410053
W3123P333708,1077652
W3133S00029,1471027
W3137S00001,935650
W3151P288870,976991
W3151P345790,1101466
W3151P407891,1234139
W3151P407892,1234140
W3158P307447,1018958
W3158P489270,1431277
W3244S00003,1201747
W3258P293190,988008
W329P285874,965402
W33163005,441351
W33164270,444666
W33165697,448194
W331P195805,782752
W331P242454,877947
W331P256909,908753
W331P257393,909986
W331P281277,955864
W331P286248,966358
W331P289098,977591
W331P295246,994007
W331P297437,999695
W331P298186,1000876
W331P309438,1023468
W331P374568,1163973
W331P377340,1169153
W331P377354,1169182
W331P379769,1174198
W331P379950,1174673
W331P380593,1176120
W331P435940,1302725
W331S00059,371298
W331S00060,371300
W331S00068,416896
W331S00071,379605
W331S00076,381525
W331S00080,381688
W331S00116,444659
W331S00167,861631
W331S00168,862459
W331S00172,864788
W331S00182,958819
W331S00184,960716
W331S00185,974355
W331S00196,1023467
W331S00198,1040411
W331S00205,1187723
W331S00213,1303011
W331S00214,1305896
W3387P306326,1016401
W3387P363520,1139037
W3387P487623,1427194
W3393P315815,1039672
W3393P414579,1250587
W3520S00050,1468645
W3835P483845,1418592
W3867P370625,1154084
W3867P479239,1406397
W3871P368993,1150493
W3871S00001,1400392
W3871S00002,1400480
W3979P394149,1204237
W3985P435507,1301532
W409134195,624543
W40981154,492996
W409P171861,732348
W409P195072,780955
W409P263831,921505
W409P307525,1019184
W409P307526,1019192
W409P307536,1019214
W409P307537,1019216
W409P307539,1019223
W409P307541,1019237
W409P307554,1019245
W409P307597,1019300
W409P327396,1064400
W409P327401,1064414
W409P327404,1064415
W409P327407,1064425
W409P338206,1087544
W409P371352,1156434
W409P371357,1156454
W409P371358,1156458
W409P387580,1190891
W409P387581,1190928
W409P454238,1339700
W409S00012,1218990
W409S00013,1218994
W409S00014,1230577
W409S00015,1230580
W409S00016,1230591
W409S00019,1234104
W409S00022,1271206
W409S00026,1286250
W409S00029,1371343
W409S00030,1371345
W409S00032,1409564
W487P221665,836743
W487P352445,1114244
W504P425956,1277502
W504P429333,1289308
W504P444380,1319136
W5107S00005,1237208
W5305P471354,1377281
W5316S00065,1417692
W5385P455456,1342321
W5389P463456,1360357
W5515P496938,1448668
W5527P489247,1431150
W5590P447308,1325004
W5872S00003,1457443
W680P143449,661838
W688P232758,856998
W688P359831,1130938
W688P364739,1141350
W688P364740,1141352
W714P253468,900712
W714P253474,900718
W714P253477,900721
W714P253478,900722
W714P253480,900724
W714P253481,900725
W714P284884,963031
W714P284891,963050
W714P293246,988207
W714P293273,988294
W714P448403,1326921
W714S00550,732165
W714S01017,941074
W714S01080,1007159
W714S01158,1028281
W714S01159,1028282
W714S01195,1053467
W714S01235,1071755
W757P151921,684087
W80863135,441647
W808P166755,721913
W808P245579,884243
W808P390792,1197848
W808P420585,1264425
W808P447216,1324879
WF319366AAK,712628
WF323345AAK,747890
WF324043AAB,743527
WF324043AAC,750606
XW000032AAA,1490164
XW000032AAB,1490156
